Security Index,Portfolio Shares,Index Shares,Price on Date 1,Price on Date 2,Price on Date 3,Price on Date 4,Price on Date 5,Price on Date 6,Price on Date 7,Price on Date 8,Price on Date 9,Price on Date 10,Price on Date 11,Price on Date 12,Price on Date 13,Price on Date 14,Price on Date 15,Price on Date 16,Price on Date 17,Price on Date 18,Price on Date 19,Price on Date 20,Price on Date 21
STOCK1,0,741889,211.920000,211.860000,213.000000,212.560000,209.790000,210.420000,211.640000,220.220000,218.340000,217.610000,216.260000,220.810000,221.990000,222.470000,222.590000,222.610000,219.990000,218.540000,220.610000,223.160000,231.540000
STOCK2,3886,179004,345.630000,348.500000,344.310000,348.970000,358.660000,354.060000,350.160000,350.550000,349.360000,347.100000,352.730000,362.070000,367.460000,365.900000,364.080000,361.780000,353.270000,354.160000,360.370000,359.420000,352.750000
STOCK3,0,431602,127.590000,124.900000,125.370000,123.810000,124.620000,123.810000,123.410000,123.050000,122.550000,120.370000,121.660000,123.200000,125.470000,127.040000,125.440000,123.500000,123.080000,121.750000,123.700000,122.920000,121.420000
STOCK4,6342,4694740,211.990000,231.100000,232.660000,235.170000,234.160000,239.940000,239.560000,240.780000,241.321000,251.760000,251.420000,249.850000,252.330000,255.240000,252.880000,252.347000,247.830000,246.570000,247.180000,244.360000,243.550000
STOCK5,8081,5820000,211.350000,230.660000,232.300000,235.000000,234.040000,239.630000,239.170000,240.370000,240.781000,251.709000,251.160000,249.530000,252.059000,254.720000,252.479000,251.660000,247.140000,245.757000,246.540000,244.050000,243.100000
STOCK6,0,774848,67.130000,66.630000,66.590000,66.550000,65.770000,66.190000,66.230000,66.360000,66.650000,64.890000,64.810000,65.510000,63.940000,64.890000,63.790000,64.870000,65.130000,65.190000,65.710000,65.670000,66.060000
STOCK7,5734,5480161,225.340000,225.945000,235.680000,232.330000,235.840000,238.240000,230.330000,229.950000,228.150000,231.430000,234.040000,231.620000,231.230000,231.480000,227.630000,220.710000,220.210000,218.150000,219.780000,222.161000,219.570000
STOCK8,2827,553465,331.180000,323.710000,330.650000,326.220000,325.410000,324.340000,323.350000,329.320000,325.310000,327.260000,327.040000,336.000000,341.670000,341.120000,340.980000,341.470000,340.480000,340.180000,341.680000,342.310000,332.160000
STOCK9,111,95223,512.820000,507.200000,511.900000,489.280000,492.440000,493.340000,492.000000,500.970000,497.080000,487.650000,486.130000,486.170000,491.390000,489.520000,494.360000,494.130000,491.890000,491.950000,499.290000,499.590000,491.250000
STOCK10,0,108513,184.810000,184.350000,187.870000,187.450000,188.670000,187.480000,187.410000,192.030000,189.930000,189.560000,187.270000,186.250000,188.700000,187.870000,188.450000,186.680000,186.170000,184.390000,186.380000,186.870000,188.000000
